,x
1198,1581974
1199,1582096
1200,1582106
1201,1582370
1202,1582434
1203,1582603
1204,1582625
1205,1582715
1206,1582775
1207,1582798
1208,1582930
1209,1583028
1210,1583061
1211,1583085
1212,1583148
1213,1583331
1214,1583430
1215,1583643
1216,1583789
1217,1583828
1218,1583883
1219,1584047
1220,1584226
1221,1584259
1222,1584321
1223,1584379
1224,1584486
1225,1584597
1226,1584993
1227,1585081
1228,1585190
1229,1585484
1230,1585950
1231,1586015
1232,1586115
1233,1586210
1234,1586241
1235,1586264
1236,1586567
1237,1586570
1238,1586577
1239,1586690
1240,1586739
1241,1587055
1242,1587315
1243,1587366
1244,1587377
1245,1587638
1246,1587675
1247,1587819
1248,1587908
1249,1588078
1250,1588349
1251,1588358
1252,1588587
1253,1588699
1254,1588726
1255,1588912
1256,1588949
1257,1589462
1258,1589814
1259,1589838
1260,1589878
1261,1589879
1262,1590040
1263,1590144
1264,1590178
1265,1590367
1266,1590411
1267,1590455
1268,1590542
1269,1590670
1270,1590672
1271,1590707
1272,1590791
1273,1590930
1274,1591011
1275,1591035
1276,1591121
1277,1591150
1278,1591153
1279,1591337
1280,1591432
1281,1591706
1282,1591820
1283,1592078
1284,1592084
1285,1592167
1286,1592219
1287,1592229
1288,1592240
1289,1592381
1290,1592557
1291,1592814
1292,1592825
1293,1592939
1294,1592942
1295,1593025
1296,1593107
1297,1593140
1298,1593299
1299,1593376
1300,1593473
1301,1593616
1302,1593675
1303,1593745
1304,1593784
1305,1593878
1306,1593966
1307,1594049
1308,1594116
1309,1594196
1310,1594353
1311,1594357
1312,1594464
1313,1594513
1314,1594759
1315,1594819
1316,1595007
1317,1595171
1318,1595219
1319,1595242
1320,1595321
1321,1595359
1322,1595398
1323,1595589
1324,1595659
1325,1595831
1326,1595922
1327,1595928
1328,1596011
1329,1596075
1330,1596138
1331,1596235
1332,1596245
1333,1596249
1334,1596436
1335,1596541
1336,1596576
1337,1596963
1338,1597035
1339,1597107
1340,1597202
1341,1597395
1342,1597475
1343,1597488
1344,1597497
1345,1597615
1346,1597624
1347,1597753
1348,1597762
1349,1597786
1350,1597873
1351,1597880
1352,1597952
1353,1598104
1354,1598118
1355,1598173
1356,1598302
1357,1598482
1358,1598557
1359,1598606
1360,1598779
1361,1598780
1362,1598899
1363,1598977
1364,1599166
1365,1599525
1366,1599680
1367,1599886
1368,1600130
1369,1600194
1370,1600245
1371,1600259
1372,1600331
1373,1600374
1374,1600510
1375,1600636
1376,1600958
1377,1601148
1378,1601169
1379,1601264
1380,1601355
1381,1601396
1382,1601655
1383,1601710
1384,1601960
1385,1602088
1386,1602152
1387,1602310
1388,1602477
1389,1602522
1390,1602581
1391,1602598
1392,1602605
1393,1602611
1394,1602634
1395,1602872
1396,1602878
1397,1602992
1398,1603271
1399,1603363
1400,1603511
1401,1603798
1402,1603820
1403,1603828
1404,1604009
1405,1604186
1406,1604289
1407,1604358
1408,1604408
1409,1604424
1410,1604450
1411,1604606
1412,1604844
1413,1604845
1414,1604969
1415,1605010
1416,1605081
1417,1605285
1418,1605457
1419,1605590
1420,1605620
1421,1605637
1422,1605718
1423,1606092
1424,1606117
1425,1606151
1426,1606158
1427,1606517
1428,1606602
1429,1606719
1430,1606722
1431,1607139
1432,1607346
1433,1607410
1434,1607416
1435,1607478
1436,1607555
1437,1607586
1438,1607672
1439,1607754
1440,1607962
1441,1607973
1442,1608118
1443,1608629
1444,1608869
1445,1608887
1446,1609237
1447,1609534
1448,1609665
1449,1609699
1450,1609931
1451,1610066
1452,1610206
1453,1610382
1454,1610466
1455,1610556
1456,1610571
1457,1610628
1458,1610684
1459,1611388
1460,1611424
1461,1611483
1462,1611727
1463,1611815
1464,1611848
1465,1611859
1466,1611952
1467,1611960
1468,1612173
1469,1612293
1470,1612418
1471,1612515
1472,1612603
1473,1612606
1474,1612649
1475,1612658
1476,1612694
1477,1612706
1478,1612810
1479,1612856
1480,1612978
1481,1613281
1482,1613285
1483,1613554
1484,1613645
1485,1613653
1486,1613727
1487,1613844
1488,1613880
1489,1614058
1490,1614176
1491,1614217
1492,1614287
1493,1614375
1494,1614560
1495,1614602
1496,1615069
1497,1615166
1498,1615218
1499,1615274
1500,1615338
1501,1615506
1502,1615608
1503,1615692
1504,1615724
1505,1615726
1506,1615869
